ID,title,abstract,content,content_html,created_at,tag,updated_at
1,当牙齿疼痛牙龈出血时应该吃什么药,当牙齿疼痛牙龈出血时应该吃什么药 牙龈出血牙痛是我们口腔内检查会出现的症状，而很多患者都想知道牙龈出血牙痛时要怎么办吃什么药好。下面我们就来一起看看，当牙齿疼痛牙龈出血时应该吃什么药。 口腔科医生为您介绍牙疼牙龈出血吃什么药，其实这些症状多数是因为口腔炎症引起的。与其吃些抗生素类的药物还不如试试以下,<p> 牙龈出血牙痛是我们口腔内检查会出现的症状，而很多患者都想知道牙龈出血牙痛时要怎么办吃什么药好。下面我们就来一起看看，当牙齿疼痛牙龈出血时应该吃什么药。<br /><br /> 口腔科医生为您介绍牙疼牙龈出血吃什么药，其实这些症状多数是因为口腔炎症引起的。与其吃些抗生素类的药物还不如试试以下几种偏方：<br /><br /><br /> 当牙齿疼痛牙龈出血时应该吃什么药<br /><br /> 1、取大蒜捣烂，温热后敷在疼点上可以治疗牙髓炎、牙周炎和牙痛等症状。<br /><br /> 2、我们早牙疼的时候可以切生姜一小片咬在痛处，必要的时候可以重复使用，睡觉的时候含在口里也无妨。这是很安全可靠的一个验方。<br /><br /> 3、取普通白酒100克放入茶缸里加上食盐10克；搅拌，等盐溶化之后放在炉子上烧开。含上一口在疼痛的地方，注意不要咽下去，牙痛就立刻止住了。<br /><br /> 温馨提示：以上方法虽说能够快速的缓解症状，当终究不能从根本上解决问题。建议您在症状暂时缓解后去医院做检查治疗，这样才能彻底的消除口腔炎症让您健康的恢复健康。</p>,<p> 牙龈出血牙痛是我们口腔内检查会出现的症状，而很多患者都想知道牙龈出血牙痛时要怎么办吃什么药好。下面我们就来一起看看，当牙齿疼痛牙龈出血时应该吃什么药。<br /><br /> 口腔科医生为您介绍牙疼牙龈出血吃什么药，其实这些症状多数是因为口腔炎症引起的。与其吃些抗生素类的药物还不如试试以下几种偏方：<br /><br /><br /> 当牙齿疼痛牙龈出血时应该吃什么药<br /><br /> 1、取大蒜捣烂，温热后敷在疼点上可以治疗牙髓炎、牙周炎和牙痛等症状。<br /><br /> 2、我们早牙疼的时候可以切生姜一小片咬在痛处，必要的时候可以重复使用，睡觉的时候含在口里也无妨。这是很安全可靠的一个验方。<br /><br /> 3、取普通白酒100克放入茶缸里加上食盐10克；搅拌，等盐溶化之后放在炉子上烧开。含上一口在疼痛的地方，注意不要咽下去，牙痛就立刻止住了。<br /><br /> 温馨提示：以上方法虽说能够快速的缓解症状，当终究不能从根本上解决问题。建议您在症状暂时缓解后去医院做检查治疗，这样才能彻底的消除口腔炎症让您健康的恢复健康。</p>,,"牙齿酸痛吃什么药,牙齿痛吃什么药,",
2,早上起来牙龈出血怎么办,早上起来牙龈出血怎么办 早上起来牙龈出血怎么办 有些人经常发现早晨起床后发牙龈容易出血，那么早上起来牙龈出血怎么办？这对这个问题，看看口腔医院的医生是怎么说的。 早上起来牙龈出血怎么办 一般情况下，早上起来牙龈出血有可能是有牙龈炎的症状，主要还是没有良好的口腔清洁习惯所导致，长时间持续下去，就会口生,<p> 早上起来牙龈出血怎么办 有些人经常发现早晨起床后发牙龈容易出血，那么早上起来牙龈出血怎么办？这对这个问题，看看口腔医院的医生是怎么说的。<br /><br /><br /> 早上起来牙龈出血怎么办<br /><br /> 一般情况下，早上起来牙龈出血有可能是有牙龈炎的症状，主要还是没有良好的口腔清洁习惯所导致，长时间持续下去，就会口生异味，就是俗话中的口臭，而且牙龈炎还会发展成牙周炎，牙周炎很难根治，如果不及时治疗，拖下去最后牙齿就会脱落因此早上起来牙龈出血不可小觑。<br /><br /> 治疗牙龈炎是迫不及待的，不要等严重了发展成牙周炎就不好了，牙龈萎缩，牙齿脱落是我们都不想看到的，治疗牙龈炎的时候，建议患者去正规的口腔医疗机构做洁牙，清除牙结石和菌斑，养成一个好的口腔清洁习惯，早晚刷牙，饭后漱口，应该每隔半年就应该洗一次牙，时刻关注牙齿的情况，一有不适，及时治疗。<br /><br /> 早上起来牙龈出血怎么办？以上就是对这个问题的简要介绍，希望可以帮到你。</p>,<p> 早上起来牙龈出血怎么办 有些人经常发现早晨起床后发牙龈容易出血，那么早上起来牙龈出血怎么办？这对这个问题，看看口腔医院的医生是怎么说的。<br /><br /><br /> 早上起来牙龈出血怎么办<br /><br /> 一般情况下，早上起来牙龈出血有可能是有牙龈炎的症状，主要还是没有良好的口腔清洁习惯所导致，长时间持续下去，就会口生异味，就是俗话中的口臭，而且牙龈炎还会发展成牙周炎，牙周炎很难根治，如果不及时治疗，拖下去最后牙齿就会脱落因此早上起来牙龈出血不可小觑。<br /><br /> 治疗牙龈炎是迫不及待的，不要等严重了发展成牙周炎就不好了，牙龈萎缩，牙齿脱落是我们都不想看到的，治疗牙龈炎的时候，建议患者去正规的口腔医疗机构做洁牙，清除牙结石和菌斑，养成一个好的口腔清洁习惯，早晚刷牙，饭后漱口，应该每隔半年就应该洗一次牙，时刻关注牙齿的情况，一有不适，及时治疗。<br /><br /> 早上起来牙龈出血怎么办？以上就是对这个问题的简要介绍，希望可以帮到你。</p>,,"牙龈出血怎么办,老是牙龈出血怎么办,",
3,口腔内经常性出现牙龈出血怎么办,口腔内经常性出现牙龈出血怎么办 很多朋友在生活中都会经常性的出现牙龈出血，但不少人都对此不够重视，其实这也是一种口腔疾病。口腔内经常性出现牙龈出血怎么办呢？ 口腔内经常出现牙龈出血要怎么办 口腔科医生为您介绍口腔内经常性出现牙龈出血怎么办，当口腔当中的牙菌斑在牙体表面形成后，如不及时清除，可逐渐硬化,"<p> 很多朋友在生活中都会经常性的出现牙龈出血，但不少人都对此不够重视，其实这也是一种口腔疾病。口腔内经常性出现牙龈出血怎么办呢？<br /><br /><br /> 口腔内经常出现牙龈出血要怎么办<br /><br /> 口腔科医生为您介绍口腔内经常性出现牙龈出血怎么办，当口腔当中的牙菌斑在牙体表面形成后，如不及时清除，可逐渐硬化，形成牙石。牙石多位于牙体与牙龈的结合部位，这种较硬的牙石对于牙龈产生持续的刺激作用，一但受到刺激，牙龈就容易出血。所以，定期的洁治（洗牙）以去处牙体上的牙石，缓解牙龈的炎症，可以使牙龈炎得以康复。<br /><br /> 而目前无痛洗牙是清除牙石、色素和软垢等的主要方法。牙结石易造成牙菌班堆积,形成牙龈炎、牙龈出血和牙周病，所以去除牙石是治疗牙龈出血的有效方法。同时洗牙由于去除了污垢和色素，牙面更清洁，牙齿得以美白。另外，口臭为牙龈出血的伴发表现，有碍社交活动，常给病人带来精神负担，定期洗牙治疗牙龈炎症和出血对口臭的治疗也非常重要。<br /><br /> 以上就是医生对口腔内经常性出现牙龈出血怎么办做出的回答，洗牙不仅可以治疗牙龈出血，同时还可以有效预防各种口腔疾病的发生。</p>","<p> 很多朋友在生活中都会经常性的出现牙龈出血，但不少人都对此不够重视，其实这也是一种口腔疾病。口腔内经常性出现牙龈出血怎么办呢？<br /><br /><br /> 口腔内经常出现牙龈出血要怎么办<br /><br /> 口腔科医生为您介绍口腔内经常性出现牙龈出血怎么办，当口腔当中的牙菌斑在牙体表面形成后，如不及时清除，可逐渐硬化，形成牙石。牙石多位于牙体与牙龈的结合部位，这种较硬的牙石对于牙龈产生持续的刺激作用，一但受到刺激，牙龈就容易出血。所以，定期的洁治（洗牙）以去处牙体上的牙石，缓解牙龈的炎症，可以使牙龈炎得以康复。<br /><br /> 而目前无痛洗牙是清除牙石、色素和软垢等的主要方法。牙结石易造成牙菌班堆积,形成牙龈炎、牙龈出血和牙周病，所以去除牙石是治疗牙龈出血的有效方法。同时洗牙由于去除了污垢和色素，牙面更清洁，牙齿得以美白。另外，口臭为牙龈出血的伴发表现，有碍社交活动，常给病人带来精神负担，定期洗牙治疗牙龈炎症和出血对口臭的治疗也非常重要。<br /><br /> 以上就是医生对口腔内经常性出现牙龈出血怎么办做出的回答，洗牙不仅可以治疗牙龈出血，同时还可以有效预防各种口腔疾病的发生。</p>",,"牙齿出血怎么回事,牙齿出血怎么治疗方法,",
4,刷牙经常牙龈出血是怎么回事啊,刷牙经常牙龈出血是怎么回事啊 刷牙时牙龈出血时间长了对口腔健康很不利，那么刷牙经常牙龈出血是怎么回事？相信很多人对这个问题都不是很了解，对此就来看看以下的介绍吧！ 刷牙经常牙龈出血是怎么回事啊 牙齿的局部组织过敏会引起牙龈出血，局部接触过敏原时引发过敏反应，波及牙龈时牙龈红肿极易出血如浆细胞性龈炎。,<p> 刷牙时牙龈出血时间长了对口腔健康很不利，那么刷牙经常牙龈出血是怎么回事？相信很多人对这个问题都不是很了解，对此就来看看以下的介绍吧！<br /><br /><br /> 刷牙经常牙龈出血是怎么回事啊<br /><br /> 牙齿的局部组织过敏会引起牙龈出血，局部接触过敏原时引发过敏反应，波及牙龈时牙龈红肿极易出血如浆细胞性龈炎。 牙结石和牙菌斑就是因其牙龈出血的罪魁祸首了，所以我们要进行半年一次的洗牙就可以清除牙齿上的牙结石，这样就可以预防各种牙齿疾病的发生了。<br /><br /> 还有就是当我们的牙齿形成了牙菌斑、牙结石的局部刺激刺激到了我们的牙齿就会产生牙龈出血。牙菌斑、牙结石的聚集，可由食物嵌塞、不良修复体、不良的口腔卫生习惯等引发，引起牙周组织炎症，如菌斑性牙龈炎、牙周炎牙龈出血等等的情况。这种牙结石和牙菌斑堆积引起的牙龈出血是可以用洗牙治疗的，洗牙可以深度清洁我们的牙齿清除牙菌斑和牙结石。<br /><br /> 刷牙经常牙龈出血是怎么回事？以上简要介绍了牙龈出血的原因，其实牙龈出血的原因有多种，爱美人士一定要去正规的医院让医生来确诊。</p>,<p> 刷牙时牙龈出血时间长了对口腔健康很不利，那么刷牙经常牙龈出血是怎么回事？相信很多人对这个问题都不是很了解，对此就来看看以下的介绍吧！<br /><br /><br /> 刷牙经常牙龈出血是怎么回事啊<br /><br /> 牙齿的局部组织过敏会引起牙龈出血，局部接触过敏原时引发过敏反应，波及牙龈时牙龈红肿极易出血如浆细胞性龈炎。 牙结石和牙菌斑就是因其牙龈出血的罪魁祸首了，所以我们要进行半年一次的洗牙就可以清除牙齿上的牙结石，这样就可以预防各种牙齿疾病的发生了。<br /><br /> 还有就是当我们的牙齿形成了牙菌斑、牙结石的局部刺激刺激到了我们的牙齿就会产生牙龈出血。牙菌斑、牙结石的聚集，可由食物嵌塞、不良修复体、不良的口腔卫生习惯等引发，引起牙周组织炎症，如菌斑性牙龈炎、牙周炎牙龈出血等等的情况。这种牙结石和牙菌斑堆积引起的牙龈出血是可以用洗牙治疗的，洗牙可以深度清洁我们的牙齿清除牙菌斑和牙结石。<br /><br /> 刷牙经常牙龈出血是怎么回事？以上简要介绍了牙龈出血的原因，其实牙龈出血的原因有多种，爱美人士一定要去正规的医院让医生来确诊。</p>,,"刷牙牙龈出血是怎么回事,牙龈出血怎么办,",
5,刷牙时导致牙龈出血的原因是什么,刷牙时导致牙龈出血的原因是什么 刷牙时牙龈出血令人困扰，在口腔健康方面，到底刷牙时牙龈出血的原因是什么呢？大家不妨先看看以下文章介绍，针对性治疗。 口腔科医生提醒，刷牙时牙龈出血除了牙膏是牙龈出血原因之外，龈缘炎同样会导致出现牙龈出血。 多因牙垢、牙结石、食物嵌塞、不良修复体等长期刺激牙龈引起，在这,<p> 刷牙时牙龈出血令人困扰，在口腔健康方面，到底刷牙时牙龈出血的原因是什么呢？大家不妨先看看以下文章介绍，针对性治疗。<br /><br /> 口腔科医生提醒，刷牙时牙龈出血除了牙膏是牙龈出血原因之外，龈缘炎同样会导致出现牙龈出血。<br /><br /> 多因牙垢、牙结石、食物嵌塞、不良修复体等长期刺激牙龈引起，在这种刺激下，会使牙龈结缔组织长期处于充血状态，而在我们刷牙以及咀嚼食物的时候就很容易出现出血的情况，但通常情况下这种出血都能够自行停止。<br /><br /> 很多情况下，牙周炎都是由牙龈炎发展而来，除有龈缘炎症状外，多有牙周袋形成，以及溢脓、牙齿松动、出血等。因此如果是这种情况所引起的牙龈出血，应该尽早的去医院进行相应的治疗，以免病情继续恶化。</p>,<p> 刷牙时牙龈出血令人困扰，在口腔健康方面，到底刷牙时牙龈出血的原因是什么呢？大家不妨先看看以下文章介绍，针对性治疗。<br /><br /> 口腔科医生提醒，刷牙时牙龈出血除了牙膏是牙龈出血原因之外，龈缘炎同样会导致出现牙龈出血。<br /><br /> 多因牙垢、牙结石、食物嵌塞、不良修复体等长期刺激牙龈引起，在这种刺激下，会使牙龈结缔组织长期处于充血状态，而在我们刷牙以及咀嚼食物的时候就很容易出现出血的情况，但通常情况下这种出血都能够自行停止。<br /><br /> 很多情况下，牙周炎都是由牙龈炎发展而来，除有龈缘炎症状外，多有牙周袋形成，以及溢脓、牙齿松动、出血等。因此如果是这种情况所引起的牙龈出血，应该尽早的去医院进行相应的治疗，以免病情继续恶化。</p>,,"刷牙时牙龈出血是怎么回事,一刷牙就出血怎么回事,",
6,成人每天早上刷牙牙龈出血的原因有哪些,成人每天早上刷牙牙龈出血的原因有哪些 牙龈出血是一种很常见的口腔问题，尤其是刷牙的时候比较常见，因为不知道是什么原因导致的牙龈出血，所以很多患者很是担心。那么成人每天早上刷牙牙龈出血的原因有哪些？下面就让口腔科医生详细为我们解答。 每天早上刷牙牙龈出血 经常牙龈出血应该立即到正规口腔医院检查，医生会,<p> 牙龈出血是一种很常见的口腔问题，尤其是刷牙的时候比较常见，因为不知道是什么原因导致的牙龈出血，所以很多患者很是担心。那么成人每天早上刷牙牙龈出血的原因有哪些？下面就让口腔科医生详细为我们解答。<br /><br /><br /> 每天早上刷牙牙龈出血<br /><br /> 经常牙龈出血应该立即到正规口腔医院检查，医生会根据牙龈出血的程度为每个人定制治疗方案及疗程，倘若是口腔局部不洁所致的牙龈炎，需要进行口腔清洁，即进行龈上洁治术俗称洗牙，利用仪器将沉积在牙面上的菌斑和牙石去除干净，磨光牙面。<br /><br /> 另外，还可以配合使用一些含漱剂及局部涂擦药物，使已经患病的组织恢复健康。此外养成早晚刷牙的习惯，每半年至一年到医院进行一次洁牙，有效去除牙石，对于牙周炎患者特别注意，在经过牙周系统治疗之后，每2-3个月进行一次龈上洁治，将会巩固治疗效果，减少口腔疾病的发生。</p>,<p> 牙龈出血是一种很常见的口腔问题，尤其是刷牙的时候比较常见，因为不知道是什么原因导致的牙龈出血，所以很多患者很是担心。那么成人每天早上刷牙牙龈出血的原因有哪些？下面就让口腔科医生详细为我们解答。<br /><br /><br /> 每天早上刷牙牙龈出血<br /><br /> 经常牙龈出血应该立即到正规口腔医院检查，医生会根据牙龈出血的程度为每个人定制治疗方案及疗程，倘若是口腔局部不洁所致的牙龈炎，需要进行口腔清洁，即进行龈上洁治术俗称洗牙，利用仪器将沉积在牙面上的菌斑和牙石去除干净，磨光牙面。<br /><br /> 另外，还可以配合使用一些含漱剂及局部涂擦药物，使已经患病的组织恢复健康。此外养成早晚刷牙的习惯，每半年至一年到医院进行一次洁牙，有效去除牙石，对于牙周炎患者特别注意，在经过牙周系统治疗之后，每2-3个月进行一次龈上洁治，将会巩固治疗效果，减少口腔疾病的发生。</p>,,"刷牙牙龈出血,牙龈出血怎么办,",
7,牙龈出血要吃什么药治疗才好得快,牙龈出血要吃什么药治疗才好得快 牙龈出血是口腔科常见症状之一，是指牙龈自发性的或由于轻微刺激引起的少量流血，若不对此引起重视，会严重影响人们的健康生活，甚至引发其他口腔炎症。那么牙龈出血要吃什么药治疗才好得快呢？下面一起来看看吧！ 牙龈出血要吃什么药 对于牙龈出血患者而言，一般治疗牙龈出血的特效药很,<p> 牙龈出血是口腔科常见症状之一，是指牙龈自发性的或由于轻微刺激引起的少量流血，若不对此引起重视，会严重影响人们的健康生活，甚至引发其他口腔炎症。那么牙龈出血要吃什么药治疗才好得快呢？下面一起来看看吧！<br /><br /><br /> 牙龈出血要吃什么药<br /><br /> 对于牙龈出血患者而言，一般治疗牙龈出血的特效药很少，关键是要注意日常的防护。在日常生活中，牙龈出血的患者要注意多吃富含维生素C的食物、蔬菜及水果；积极的到正规的医院治疗牙周炎、牙龈炎或者是牙龈结石，对症施治。<br /><br /> 此外是药三分毒，患者不能随便用药，以免给自身带来更大的危害，而且牙龈出血的患者要注意保持口腔的清洁卫生，养成早晚的刷牙习惯，注意戒烟戒酒，养成规律的生活习惯，积极的进行体育锻炼，这些也都有助于患者减少牙龈出血，让各种口腔疾患远离大家的生活。<br /><br /> 牙龈出血要吃什么药治疗才好得快的问题就介绍到这里了，希望对您有所帮助。最后口腔科医生提醒：引起牙龈出血的原因有很多，找出病因对症治疗是关键！<br /></p>,<p> 牙龈出血是口腔科常见症状之一，是指牙龈自发性的或由于轻微刺激引起的少量流血，若不对此引起重视，会严重影响人们的健康生活，甚至引发其他口腔炎症。那么牙龈出血要吃什么药治疗才好得快呢？下面一起来看看吧！<br /><br /><br /> 牙龈出血要吃什么药<br /><br /> 对于牙龈出血患者而言，一般治疗牙龈出血的特效药很少，关键是要注意日常的防护。在日常生活中，牙龈出血的患者要注意多吃富含维生素C的食物、蔬菜及水果；积极的到正规的医院治疗牙周炎、牙龈炎或者是牙龈结石，对症施治。<br /><br /> 此外是药三分毒，患者不能随便用药，以免给自身带来更大的危害，而且牙龈出血的患者要注意保持口腔的清洁卫生，养成早晚的刷牙习惯，注意戒烟戒酒，养成规律的生活习惯，积极的进行体育锻炼，这些也都有助于患者减少牙龈出血，让各种口腔疾患远离大家的生活。<br /><br /> 牙龈出血要吃什么药治疗才好得快的问题就介绍到这里了，希望对您有所帮助。最后口腔科医生提醒：引起牙龈出血的原因有很多，找出病因对症治疗是关键！<br /></p>,,"牙龈出血吃什么药,牙龈出血吃什么消炎药,",
8,牙龈出血是啥问题导致的,牙龈出血是啥问题导致的  　　牙龈出血是啥问题导致的 如今，越来越多的人关注口腔健康，其中牙龈出血是很常见的口腔问题，那么，牙龈出血是啥问题导致的？对于这个问题来看看以下的介绍吧！ 　　常见的是患牙龈炎和牙周炎病人。这些病人由于不注意口腔卫生，牙齿表面会堆积牙菌斑、牙结石，牙菌斑中的细菌产生许多有害,<p> 　　牙龈出血是啥问题导致的 如今，越来越多的人关注口腔健康，其中牙龈出血是很常见的口腔问题，那么，牙龈出血是啥问题导致的？对于这个问题来看看以下的介绍吧！<br /><br /> 　　常见的是患牙龈炎和牙周炎病人。这些病人由于不注意口腔卫生，牙齿表面会堆积牙菌斑、牙结石，牙菌斑中的细菌产生许多有害的代谢产物，对牙组织造成损害，引起牙龈乳头和牙龈炎症、水肿，容易出血。<br /><br /> 　　另一种原因，就是口腔出现了残根残冠，残冠表面有锋利的牙釉质组织，像小刀一样刺割着牙龈而引起牙龈出血，建议及时拔除残冠，重新镶义齿。<br /><br /> 　　还有就是比较少见的一种原因，那就是人体患上了系统疾病，比如白血病、血友病等，这些都可能导致牙龈出血，不过这种几率很小。</p>,<p> 　　牙龈出血是啥问题导致的 如今，越来越多的人关注口腔健康，其中牙龈出血是很常见的口腔问题，那么，牙龈出血是啥问题导致的？对于这个问题来看看以下的介绍吧！<br /><br /> 　　常见的是患牙龈炎和牙周炎病人。这些病人由于不注意口腔卫生，牙齿表面会堆积牙菌斑、牙结石，牙菌斑中的细菌产生许多有害的代谢产物，对牙组织造成损害，引起牙龈乳头和牙龈炎症、水肿，容易出血。<br /><br /> 　　另一种原因，就是口腔出现了残根残冠，残冠表面有锋利的牙釉质组织，像小刀一样刺割着牙龈而引起牙龈出血，建议及时拔除残冠，重新镶义齿。<br /><br /> 　　还有就是比较少见的一种原因，那就是人体患上了系统疾病，比如白血病、血友病等，这些都可能导致牙龈出血，不过这种几率很小。</p>,,"导致牙龈出血的原因,牙龈出血是什么原因,",
9,牙龈萎缩牙疼怎么办？,牙龈萎缩牙疼怎么办？ 　　医生你好，请问牙龈萎缩牙疼怎么办？这段时间牙疼的特别难受，饭就不敢吃，特别难受，而且牙龈有明显的萎缩，想到医院治疗，可是不知道牙龈萎缩牙疼怎么办？ 　　专家回复：牙龈萎缩牙疼怎么办？ 　　你好，牙龈萎缩在生活当中很常见，由于引起牙龈萎缩的原因很多，因此建议你到医院检查一下，,<p> 　　医生你好，请问牙龈萎缩牙疼怎么办？这段时间牙疼的特别难受，饭就不敢吃，特别难受，而且牙龈有明显的萎缩，想到医院治疗，可是不知道牙龈萎缩牙疼怎么办？<br /><br /> 　　专家回复：牙龈萎缩牙疼怎么办？<br /><br /> 　　你好，牙龈萎缩在生活当中很常见，由于引起牙龈萎缩的原因很多，因此建议你到医院检查一下，然后根据牙龈萎缩的原因对症治疗。如果牙龈萎缩由于口腔卫生没有做到位引起的，常通过洗牙、牙周手术等方法治疗；如果是不良修复体质量不好引起的牙龈萎缩，需卸掉不良修复体，消除炎症，重新装质量好的材料，一般待炎症消除后牙疼现象会自动消失。</p>,<p> 　　医生你好，请问牙龈萎缩牙疼怎么办？这段时间牙疼的特别难受，饭就不敢吃，特别难受，而且牙龈有明显的萎缩，想到医院治疗，可是不知道牙龈萎缩牙疼怎么办？<br /><br /> 　　专家回复：牙龈萎缩牙疼怎么办？<br /><br /> 　　你好，牙龈萎缩在生活当中很常见，由于引起牙龈萎缩的原因很多，因此建议你到医院检查一下，然后根据牙龈萎缩的原因对症治疗。如果牙龈萎缩由于口腔卫生没有做到位引起的，常通过洗牙、牙周手术等方法治疗；如果是不良修复体质量不好引起的牙龈萎缩，需卸掉不良修复体，消除炎症，重新装质量好的材料，一般待炎症消除后牙疼现象会自动消失。</p>,,"牙龈萎缩牙疼怎么办,牙龈萎缩怎么办,",
10,牙龈出血该怎么办？,牙龈出血该怎么办？ 　　当口腔当中的牙菌斑在牙体表面形成后，如不及时清除，可逐渐硬化，形成牙石。牙石多位于牙体与牙龈的结合部位，这种较硬的牙石对于牙龈产生持续的刺激作用，当正常的牙龈受到炎症的刺激，牙龈的毛细血管增多，变得充血，牙龈颜色变暗，一但受到刺激，牙龈就容易出血。这就是牙龈出血的原因。由于牙,<p> 　　当口腔当中的牙菌斑在牙体表面形成后，如不及时清除，可逐渐硬化，形成牙石。牙石多位于牙体与牙龈的结合部位，这种较硬的牙石对于牙龈产生持续的刺激作用，当正常的牙龈受到炎症的刺激，牙龈的毛细血管增多，变得充血，牙龈颜色变暗，一但受到刺激，牙龈就容易出血。这就是牙龈出血的原因。由于牙龈炎是牙周炎的早期，所以，定期的洁治(洗牙)以去处牙体上的牙石，缓解牙龈的炎症，可以使牙龈炎得以康复。牙周炎时，不仅牙龈出血，而且牙齿开始出现松动，仅仅定期的洁治(洗牙)已经不能使病变恢复，只有采取刮治和其它牙周治疗或牙周手术治疗，才能缓解病症。通常的口腔理论认为，牙龈出血是是牙龈组织缺乏维生素C，引发一种厌氧菌的滋生和爆发而导致的，这种说法只是从表面现象进行解释，实际上并没有找到问题的根源。<br /><br /> 　　实际上，现代的生理研究发现，牙龈出血是牙龈组织的一种过早生理退化现象，继而导致牙龈营养缺陷。因此单纯大量服食维生素C，是治标不治本。此外还有许多保健理论认为，牙龈出血是由上火引起，这其中也有一个误区，就是对&ldquo;上火&rdquo;这个概念的解释。人们普遍理解的&lsquo;上火发炎属于西医理论，与传统中医所说的&lsquo;内火&rsquo;&lsquo;湿火&rsquo;是完全不同的两个概念，牙龈出血属于后者的理论范畴，因此市面上流行的多数口腔卫生用品，以消毒杀菌为手段，对于治疗牙龈出血是没有根本作用的。还有些健牙产品，将牙龈出血与外伤出血混为一谈，说什么止血杀菌防感染，就更牵强了。<br /><br /> 　　要彻底解决牙龈出血的难题，还是要从根本入手，以补充牙龈营养为根本，发现并提供能让牙龈直接吸收的营养素，使退化的牙龈组织重新提高免疫力，才能从根本上解决牙龈出血所带来的一系列牙齿口腔问题。</p>,<p> 　　当口腔当中的牙菌斑在牙体表面形成后，如不及时清除，可逐渐硬化，形成牙石。牙石多位于牙体与牙龈的结合部位，这种较硬的牙石对于牙龈产生持续的刺激作用，当正常的牙龈受到炎症的刺激，牙龈的毛细血管增多，变得充血，牙龈颜色变暗，一但受到刺激，牙龈就容易出血。这就是牙龈出血的原因。由于牙龈炎是牙周炎的早期，所以，定期的洁治(洗牙)以去处牙体上的牙石，缓解牙龈的炎症，可以使牙龈炎得以康复。牙周炎时，不仅牙龈出血，而且牙齿开始出现松动，仅仅定期的洁治(洗牙)已经不能使病变恢复，只有采取刮治和其它牙周治疗或牙周手术治疗，才能缓解病症。通常的口腔理论认为，牙龈出血是是牙龈组织缺乏维生素C，引发一种厌氧菌的滋生和爆发而导致的，这种说法只是从表面现象进行解释，实际上并没有找到问题的根源。<br /><br /> 　　实际上，现代的生理研究发现，牙龈出血是牙龈组织的一种过早生理退化现象，继而导致牙龈营养缺陷。因此单纯大量服食维生素C，是治标不治本。此外还有许多保健理论认为，牙龈出血是由上火引起，这其中也有一个误区，就是对&ldquo;上火&rdquo;这个概念的解释。人们普遍理解的&lsquo;上火发炎属于西医理论，与传统中医所说的&lsquo;内火&rsquo;&lsquo;湿火&rsquo;是完全不同的两个概念，牙龈出血属于后者的理论范畴，因此市面上流行的多数口腔卫生用品，以消毒杀菌为手段，对于治疗牙龈出血是没有根本作用的。还有些健牙产品，将牙龈出血与外伤出血混为一谈，说什么止血杀菌防感染，就更牵强了。<br /><br /> 　　要彻底解决牙龈出血的难题，还是要从根本入手，以补充牙龈营养为根本，发现并提供能让牙龈直接吸收的营养素，使退化的牙龈组织重新提高免疫力，才能从根本上解决牙龈出血所带来的一系列牙齿口腔问题。</p>,,"牙龈出血该怎么办,牙龈出血怎么办,",
