ID,title,abstract,content,content_html,created_at,tag,updated_at
1,牙齿黄怎么办 从饮食调整做起,牙齿黄怎么办 从饮食调整做起 牙齿泛黄是长年累月而形成的，牙齿黄不仅是影响到美观，同时它也是在表明你的牙齿并不太健康，所以对于牙齿黄这个问题我们过于忽视，要慎重的对待。有时因为紧急情况需要我们会用一些快速美白牙齿的方法，但是想要美丽健康的牙齿，是需要我们长期用心呵护的，快捷方法可以用几次，但是不能过,<p> 牙齿泛黄是长年累月而形成的，牙齿黄不仅是影响到美观，同时它也是在表明你的牙齿并不太健康，所以对于牙齿黄这个问题我们过于忽视，要慎重的对待。有时因为紧急情况需要我们会用一些快速美白牙齿的方法，但是想要美丽健康的牙齿，是需要我们长期用心呵护的，快捷方法可以用几次，但是不能过于依赖，最终要的是我们每天坚持的生活习惯，说到底牙齿黄怎么办，我们可以从我们日常的饮食入手。<br /><br /> 牙齿黄需要多食用富含维生素C的食物<br /><br /> 如果我们照镜子时发现自己的牙齿黄黄的，也许是因为我们身体里缺乏维生素，因为维生素对于我们牙齿的美白是很有效果的，所以我们应该多吃一些富含维生素的食物如番茄、柠檬、菠菜等，我们还要特别注意的是，要多补充维生素C，因为维生素C对于保护牙齿有很大的作用，它可以防止牙龈出现红肿、牙齿出现松动等问题。<br /><br /> 牙齿黄应该多吃芹菜<br /><br /> 也许有人会觉得很奇怪，牙齿黄和芹菜有什么关系，其实芹菜有时有利于美白牙齿的，它之所以有美白牙齿的功效并不是因为芹菜本身含有什么特殊物质，而是因为在咀嚼芹菜这种粗纤维蔬菜时，牙齿和芹菜会产生摩擦，能清楚牙齿表面的食物残渣和细菌，对牙齿美白是有好处的。既然知道原理了，那么很容易就可以知道除了芹菜，其他富含膳食纤维的食物也可以有这种功效。<br /><br /> 牙齿黄应多吃葱、姜、蒜<br /><br /> 我们会觉得葱、姜、蒜这些食物味道比较大，可以作为调料品，一般来说不会去吃这些调料，但是它们的作用也是很大的。葱姜蒜虽然味道比较大，但是有比较好的杀菌效果，可以杀灭附着在牙齿上的细菌，防止蛀牙，还有助于美白牙齿的效果。所以不要嫌弃他们，平时在家里可以适当吃一下葱姜蒜。</p>,<p> 牙齿泛黄是长年累月而形成的，牙齿黄不仅是影响到美观，同时它也是在表明你的牙齿并不太健康，所以对于牙齿黄这个问题我们过于忽视，要慎重的对待。有时因为紧急情况需要我们会用一些快速美白牙齿的方法，但是想要美丽健康的牙齿，是需要我们长期用心呵护的，快捷方法可以用几次，但是不能过于依赖，最终要的是我们每天坚持的生活习惯，说到底牙齿黄怎么办，我们可以从我们日常的饮食入手。<br /><br /> 牙齿黄需要多食用富含维生素C的食物<br /><br /> 如果我们照镜子时发现自己的牙齿黄黄的，也许是因为我们身体里缺乏维生素，因为维生素对于我们牙齿的美白是很有效果的，所以我们应该多吃一些富含维生素的食物如番茄、柠檬、菠菜等，我们还要特别注意的是，要多补充维生素C，因为维生素C对于保护牙齿有很大的作用，它可以防止牙龈出现红肿、牙齿出现松动等问题。<br /><br /> 牙齿黄应该多吃芹菜<br /><br /> 也许有人会觉得很奇怪，牙齿黄和芹菜有什么关系，其实芹菜有时有利于美白牙齿的，它之所以有美白牙齿的功效并不是因为芹菜本身含有什么特殊物质，而是因为在咀嚼芹菜这种粗纤维蔬菜时，牙齿和芹菜会产生摩擦，能清楚牙齿表面的食物残渣和细菌，对牙齿美白是有好处的。既然知道原理了，那么很容易就可以知道除了芹菜，其他富含膳食纤维的食物也可以有这种功效。<br /><br /> 牙齿黄应多吃葱、姜、蒜<br /><br /> 我们会觉得葱、姜、蒜这些食物味道比较大，可以作为调料品，一般来说不会去吃这些调料，但是它们的作用也是很大的。葱姜蒜虽然味道比较大，但是有比较好的杀菌效果，可以杀灭附着在牙齿上的细菌，防止蛀牙，还有助于美白牙齿的效果。所以不要嫌弃他们，平时在家里可以适当吃一下葱姜蒜。</p>,,,2017/5/18 10:39
2,为什么你每天刷牙但牙齿还是很黄?,为什么你每天刷牙但牙齿还是很黄? 1、食物 日常生活饮食中，我们不可避免的食用有颜色的食物。除了豆腐，鸡蛋等浅颜色的食物外，其他绝大多数的五颜六色、丰富多彩的美食，都是导致黄牙原因。牙齿表面存在多种细菌，它们在牙齿表面分泌许多黏性物质。 烟草（吸烟或咀嚼烟草）、喝茶、饮咖啡、可乐、红酒，及有颜色的食,<p> 1、食物<br /><br /><br /><br /> 日常生活饮食中，我们不可避免的食用有颜色的食物。除了豆腐，鸡蛋等浅颜色的食物外，其他绝大多数的五颜六色、丰富多彩的美食，都是导致黄牙原因。牙齿表面存在多种细菌，它们在牙齿表面分泌许多黏性物质。<br /><br /> 烟草（吸烟或咀嚼烟草）、喝茶、饮咖啡、可乐、红酒，及有颜色的食物等等的摄入，都会在我们的牙齿上留下色素。这些色素吸附在这些黏性物质上，逐步使牙齿表面变黄或变黑。<br /><br /> 日积月累，这些物质还会从牙齿表面逐渐深入牙齿内部，形成内部污渍，使牙齿内部也慢慢变色，这种牙齿被成为外源性染色牙齿。也就是说，生活中只要牙齿对颜色有&ldquo;亲密接触&rdquo;，都完全拥有了被染色变黄的可能！<br /><br /> 2、药物和水质<br /><br /> 在牙齿发育时，特别是8岁以下儿童，服用了四环素类药物，容易引起牙齿变色为四环素牙。有些地区，特别是有些山区，由于水中含氟量高，过多地饮用氟会让牙齿发黄，而且不是1~2个牙齿，是满口大黄牙，成为氟斑牙。<br /><br /> 这些染色牙齿被称为内源性染色牙。这些&ldquo;病态&rdquo;牙齿，深色色素埋藏在牙齿的深层，是日常刷牙无法触及的，只有通过特殊的美白方法才能令牙齿&ldquo;脱胎换骨&rdquo;。<br /><br /> 3、卫生习惯<br /><br /> 有些人不注意口腔卫生，没有早晚正确刷牙的习惯，使牙齿表面堆积一层食物残渣、软垢、牙石、烟渍、茶渍等&ldquo;劣迹&rdquo;。这些黄牙并不是牙齿本身发黄，而是不注意口腔卫生造成的。<br /><br /> 4、龄性黄牙<br /><br /> 我们永远无法抵抗的，就是自然的老化。随年龄增长，我们的牙齿难抵沧桑，颜色逐渐黯淡发黄。岁月使皮肤留下皱纹，同样也能让牙齿不再亮白如初。</p>,<p> 1、食物<br /><br /><br /><br /> 日常生活饮食中，我们不可避免的食用有颜色的食物。除了豆腐，鸡蛋等浅颜色的食物外，其他绝大多数的五颜六色、丰富多彩的美食，都是导致黄牙原因。牙齿表面存在多种细菌，它们在牙齿表面分泌许多黏性物质。<br /><br /> 烟草（吸烟或咀嚼烟草）、喝茶、饮咖啡、可乐、红酒，及有颜色的食物等等的摄入，都会在我们的牙齿上留下色素。这些色素吸附在这些黏性物质上，逐步使牙齿表面变黄或变黑。<br /><br /> 日积月累，这些物质还会从牙齿表面逐渐深入牙齿内部，形成内部污渍，使牙齿内部也慢慢变色，这种牙齿被成为外源性染色牙齿。也就是说，生活中只要牙齿对颜色有&ldquo;亲密接触&rdquo;，都完全拥有了被染色变黄的可能！<br /><br /> 2、药物和水质<br /><br /> 在牙齿发育时，特别是8岁以下儿童，服用了四环素类药物，容易引起牙齿变色为四环素牙。有些地区，特别是有些山区，由于水中含氟量高，过多地饮用氟会让牙齿发黄，而且不是1~2个牙齿，是满口大黄牙，成为氟斑牙。<br /><br /> 这些染色牙齿被称为内源性染色牙。这些&ldquo;病态&rdquo;牙齿，深色色素埋藏在牙齿的深层，是日常刷牙无法触及的，只有通过特殊的美白方法才能令牙齿&ldquo;脱胎换骨&rdquo;。<br /><br /> 3、卫生习惯<br /><br /> 有些人不注意口腔卫生，没有早晚正确刷牙的习惯，使牙齿表面堆积一层食物残渣、软垢、牙石、烟渍、茶渍等&ldquo;劣迹&rdquo;。这些黄牙并不是牙齿本身发黄，而是不注意口腔卫生造成的。<br /><br /> 4、龄性黄牙<br /><br /> 我们永远无法抵抗的，就是自然的老化。随年龄增长，我们的牙齿难抵沧桑，颜色逐渐黯淡发黄。岁月使皮肤留下皱纹，同样也能让牙齿不再亮白如初。</p>,,,2017/5/19 10:39
3,黄牙齿怎么变白,随着人们对自身形象要求的提高，越来越多的朋友开始关注口腔内牙齿的健康，也有很多牙齿很黄，怎么刷也刷不白的牙齿，严重的影响带自身形象的问题，这令很多人都在困扰，那么黄牙齿怎么变白?　　想要美白牙齿，首先应该明白你的黄牙是由什么原因所形成的。牙齿发黄俗称&ldquo;黄牙&rdquo;，主要有三种原因所,"<p>　　随着人们对自身形象要求的提高，越来越多的朋友开始关注口腔内牙齿的健康，也有很多牙齿很黄，怎么刷也刷不白的牙齿，严重的影响带自身形象的问题，这令很多人都在困扰，那么黄牙齿怎么变白?</p><p style=""text-align: center;""></p><p>　　想要美白牙齿，首先应该明白你的黄牙是由什么原因所形成的。牙齿发黄俗称&ldquo;黄牙&rdquo;，主要有三种原因所造成的，第一种是吸烟，把烟草中黄色的物质黏着在牙齿上所形成。第二种，四环素牙，四环素牙形成的因素是因为儿童时期经常服用四环素所导致的，它在体内与钙质相结合，生成一种四环素钙的黄色复合物，沉积于牙冠上。第三种氟斑牙，氟斑牙形成是因为饮用水中的氟元素浓度过高影响的，当氟摄入过高，就会影响牙胚的钙化过程，使牙齿发黄变色，凹凸不平。</p><p>　　美白推荐：Beyond冷光美白技术</p><p>　　冷光没白技术是通过低温将波长介于480-520nanometer之间的高强度冷光，经由12000多根光纤传导，通过两片经30多次镀膜处理的光学镜片，照射到涂抹了特殊美白剂的牙齿上，完全避免了操作过程中对牙神经的刺激而引发的不适感，亲水性药物和完全不接触牙龈的美白过程，不会造成对牙齿及珐琅质的任何损伤。适用于牙齿外因性的染色，如咖啡、酱油、茶等造成的染色，采用冷光美白可以达到很好的效果;对于轻中度的四环素牙、氟斑牙患者，或者其它因素引起的变色牙，遗传性黄黑齿，一般通过一次冷光美白牙治疗都可以获得满意的效果。</p>","<p>　　随着人们对自身形象要求的提高，越来越多的朋友开始关注口腔内牙齿的健康，也有很多牙齿很黄，怎么刷也刷不白的牙齿，严重的影响带自身形象的问题，这令很多人都在困扰，那么黄牙齿怎么变白?</p><p style=""text-align: center;""></p><p>　　想要美白牙齿，首先应该明白你的黄牙是由什么原因所形成的。牙齿发黄俗称&ldquo;黄牙&rdquo;，主要有三种原因所造成的，第一种是吸烟，把烟草中黄色的物质黏着在牙齿上所形成。第二种，四环素牙，四环素牙形成的因素是因为儿童时期经常服用四环素所导致的，它在体内与钙质相结合，生成一种四环素钙的黄色复合物，沉积于牙冠上。第三种氟斑牙，氟斑牙形成是因为饮用水中的氟元素浓度过高影响的，当氟摄入过高，就会影响牙胚的钙化过程，使牙齿发黄变色，凹凸不平。</p><p>　　美白推荐：Beyond冷光美白技术</p><p>　　冷光没白技术是通过低温将波长介于480-520nanometer之间的高强度冷光，经由12000多根光纤传导，通过两片经30多次镀膜处理的光学镜片，照射到涂抹了特殊美白剂的牙齿上，完全避免了操作过程中对牙神经的刺激而引发的不适感，亲水性药物和完全不接触牙龈的美白过程，不会造成对牙齿及珐琅质的任何损伤。适用于牙齿外因性的染色，如咖啡、酱油、茶等造成的染色，采用冷光美白可以达到很好的效果;对于轻中度的四环素牙、氟斑牙患者，或者其它因素引起的变色牙，遗传性黄黑齿，一般通过一次冷光美白牙治疗都可以获得满意的效果。</p>",,,2017/5/20 10:39
4,青少年的牙齿黄怎么变白,现在的青少年普遍存在着牙齿发黄的问题，很多爱美的人士们都在关注青少年的牙齿黄怎么变白这个问题，下面就来了解一下青少年的牙齿黄怎么变白。对于青少年的牙齿黄怎么变白这个问题，口腔中心讲，一般来说，大体上可分为内源性和外源性两种。外源性主要由茶垢、烟渍、红酒以及饮用水中的,<p> 　　现在的青少年普遍存在着牙齿发黄的问题，很多爱美的人士们都在关注青少年的牙齿黄怎么变白这个问题，下面就来了解一下青少年的牙齿黄怎么变白。<br /><br /> 　　对于青少年的牙齿黄怎么变白这个问题，口腔中心讲，一般来说，大体上可分为内源性和外源性两种。外源性主要由茶垢、烟渍、红酒以及饮用水中的矿物质引起。内源性着色是在牙齿发育过程中形成的，如四环素牙、氟斑牙等。牙齿美白必须针对着色原因治疗，才能收到理想效果。<br /><br /> 　　青少年的牙齿黄怎么变白？常用的牙齿美白方法有：<br /><br /> 　　1、冷光美白牙：这种技术是一项正流行于欧美的最新牙齿美白技术，它不仅可以去除牙齿表面的色素沉积，同时可进入牙齿深层达到脱色的效果。根据临床实验表明，使用冷光牙齿美白技术，其效果可提高5-14个vita色阶，不仅优于同类产品，更超过家用牙套美白效果30%以上。操作过程仅需三十分钟，无副作用，美白效果可维持两年以上。<br /><br /> 　　2、贴面美白：是在牙齿表面粘上一层烤瓷片或塑料牙片及树脂，遮盖变色的牙齿。这种方法的缺点是，如果医生治疗水平或个人保养不好，会很快磨损脱落。<br /><br /> 　　3、烤瓷冠：是将做好的烤瓷牙套粘固在经过磨改后的真牙上。目前应用比较普遍，对内源性着色过深，用其他方法效果不满意的人较为适宜。但它要磨除一部分牙体组织，对牙齿本身也是一种损伤。</p>,<p> 　　现在的青少年普遍存在着牙齿发黄的问题，很多爱美的人士们都在关注青少年的牙齿黄怎么变白这个问题，下面就来了解一下青少年的牙齿黄怎么变白。<br /><br /> 　　对于青少年的牙齿黄怎么变白这个问题，口腔中心讲，一般来说，大体上可分为内源性和外源性两种。外源性主要由茶垢、烟渍、红酒以及饮用水中的矿物质引起。内源性着色是在牙齿发育过程中形成的，如四环素牙、氟斑牙等。牙齿美白必须针对着色原因治疗，才能收到理想效果。<br /><br /> 　　青少年的牙齿黄怎么变白？常用的牙齿美白方法有：<br /><br /> 　　1、冷光美白牙：这种技术是一项正流行于欧美的最新牙齿美白技术，它不仅可以去除牙齿表面的色素沉积，同时可进入牙齿深层达到脱色的效果。根据临床实验表明，使用冷光牙齿美白技术，其效果可提高5-14个vita色阶，不仅优于同类产品，更超过家用牙套美白效果30%以上。操作过程仅需三十分钟，无副作用，美白效果可维持两年以上。<br /><br /> 　　2、贴面美白：是在牙齿表面粘上一层烤瓷片或塑料牙片及树脂，遮盖变色的牙齿。这种方法的缺点是，如果医生治疗水平或个人保养不好，会很快磨损脱落。<br /><br /> 　　3、烤瓷冠：是将做好的烤瓷牙套粘固在经过磨改后的真牙上。目前应用比较普遍，对内源性着色过深，用其他方法效果不满意的人较为适宜。但它要磨除一部分牙体组织，对牙齿本身也是一种损伤。</p>,,,2017/5/21 10:39
5,宝宝牙齿有黄斑怎么办？,医生你好，请问宝宝牙齿有黄斑怎么办？宝宝今年才6岁，牙齿上有黄斑，看上去特别影响外貌美观，害怕孩子长大了给他造成心理压力，准备带宝宝到医院治疗，可是不知道宝宝黄斑如何治疗？专家回复：宝宝牙齿有黄斑怎么办？你好，宝宝牙齿黄斑的确影响外貌美观，建议你及时带孩子到医,<p> 　　医生你好，请问宝宝牙齿有黄斑怎么办？宝宝今年才6岁，牙齿上有黄斑，看上去特别影响外貌美观，害怕孩子长大了给他造成心理压力，准备带宝宝到医院治疗，可是不知道宝宝黄斑如何治疗？<br /><br /> 　　专家回复：宝宝牙齿有黄斑怎么办？<br /><br /> 　　你好，宝宝牙齿黄斑的确影响外貌美观，建议你及时带孩子到医院检查一下，然后根据具体情况对症治疗。若牙齿黄斑是外源性因素引起的，常通过洗牙的方法即可恢复牙齿的洁白；若是内源性因素引起的，如氟斑牙或四环素牙，常通过冷光美白、牙脱色素、全瓷牙等美白方法，恢复牙齿的靓丽洁白。</p>,<p> 　　医生你好，请问宝宝牙齿有黄斑怎么办？宝宝今年才6岁，牙齿上有黄斑，看上去特别影响外貌美观，害怕孩子长大了给他造成心理压力，准备带宝宝到医院治疗，可是不知道宝宝黄斑如何治疗？<br /><br /> 　　专家回复：宝宝牙齿有黄斑怎么办？<br /><br /> 　　你好，宝宝牙齿黄斑的确影响外貌美观，建议你及时带孩子到医院检查一下，然后根据具体情况对症治疗。若牙齿黄斑是外源性因素引起的，常通过洗牙的方法即可恢复牙齿的洁白；若是内源性因素引起的，如氟斑牙或四环素牙，常通过冷光美白、牙脱色素、全瓷牙等美白方法，恢复牙齿的靓丽洁白。</p>,,,2017/5/22 10:39
6,牙齿变黄的主要原因是什么,我们的牙齿虽然每天都在清洁，其实光刷牙是远远不够的，黄牙色素是刷不掉的，牙齿变黄的原因是什么呢?谁都想拥有一口洁白整齐的牙齿，但是为什么你的牙齿虽然每天都在清洁，还是看起来黄黄的呢?牙齿变黄主要原因是什么呢?一起来看下以下的解释。外源性黄牙：由于食物色素贴在,<p> 　　我们的牙齿虽然每天都在清洁，其实光刷牙是远远不够的，黄牙色素是刷不掉的，牙齿变黄的原因是什么呢?<br /><br /> 　　谁都想拥有一口洁白整齐的牙齿，但是为什么你的牙齿虽然每天都在清洁，还是看起来黄黄的呢?牙齿变黄主要原因是什么呢?一起来看下以下的解释。<br /><br /> 　　外源性黄牙：由于食物色素贴在牙面上，呈黄色或灰色;吸烟的 烟垢、饮料、咖啡、茶的色素等附着牙齿上呈黄灰色。<br /><br /> 　　内源性黄牙：牙齿受到某中元素影响，色素不在牙齿表面而在牙齿组织内，主要有两种：氟斑牙和四环素牙。氟斑牙是七岁以前，生活在饮水含氟较高的地区造成的，色素在牙齿表层牙釉质内，呈黄褐 色斑块状，严重者牙齿表面还有凹凸不平的缺损，一般以上颌的门牙最为明显，因此严重影响美观。四环素牙是七岁以前服用四环素类药物造成的，四环素分子可与牙体组织内的钙结合，形成极稳定的螯合 物，沉积于牙体组织中，使牙着色。全口牙都可呈棕灰色或棕黄色。<br /><br /> 　　专家表示，虽然国内牙齿美白的市场需求很大，但我们不推荐消费者进行牙齿美白，因为目前对于国内消费者来说，保护牙齿健康才是最重要的，而且，到目前为止，市场上还未出现一种绝对能满足消费者需求的牙齿美白产品。<br /><br /> 　　专家介绍：因为有患者需要，一开始一些医院也是有牙齿脱色服务的，但是，这项服务却屡屡引起患者的不满。原因是，牙齿脱色效果难以满足消费者的期望，许多消费者都希望在进行牙齿脱色后，自己的牙齿可以像明星的牙齿那样，雪白晶莹，其实这非常不现实，除非是做烤瓷牙，否则现在还没有美白功效那么显著的产品。因为总是有患者提意见，影响了医院的口碑，而且美白牙齿只是对牙齿的美观有帮助，对牙齿健康没有任何效果，所以部分医院干脆停止了牙齿脱色这项业务。</p>,<p> 　　我们的牙齿虽然每天都在清洁，其实光刷牙是远远不够的，黄牙色素是刷不掉的，牙齿变黄的原因是什么呢?<br /><br /> 　　谁都想拥有一口洁白整齐的牙齿，但是为什么你的牙齿虽然每天都在清洁，还是看起来黄黄的呢?牙齿变黄主要原因是什么呢?一起来看下以下的解释。<br /><br /> 　　外源性黄牙：由于食物色素贴在牙面上，呈黄色或灰色;吸烟的 烟垢、饮料、咖啡、茶的色素等附着牙齿上呈黄灰色。<br /><br /> 　　内源性黄牙：牙齿受到某中元素影响，色素不在牙齿表面而在牙齿组织内，主要有两种：氟斑牙和四环素牙。氟斑牙是七岁以前，生活在饮水含氟较高的地区造成的，色素在牙齿表层牙釉质内，呈黄褐 色斑块状，严重者牙齿表面还有凹凸不平的缺损，一般以上颌的门牙最为明显，因此严重影响美观。四环素牙是七岁以前服用四环素类药物造成的，四环素分子可与牙体组织内的钙结合，形成极稳定的螯合 物，沉积于牙体组织中，使牙着色。全口牙都可呈棕灰色或棕黄色。<br /><br /> 　　专家表示，虽然国内牙齿美白的市场需求很大，但我们不推荐消费者进行牙齿美白，因为目前对于国内消费者来说，保护牙齿健康才是最重要的，而且，到目前为止，市场上还未出现一种绝对能满足消费者需求的牙齿美白产品。<br /><br /> 　　专家介绍：因为有患者需要，一开始一些医院也是有牙齿脱色服务的，但是，这项服务却屡屡引起患者的不满。原因是，牙齿脱色效果难以满足消费者的期望，许多消费者都希望在进行牙齿脱色后，自己的牙齿可以像明星的牙齿那样，雪白晶莹，其实这非常不现实，除非是做烤瓷牙，否则现在还没有美白功效那么显著的产品。因为总是有患者提意见，影响了医院的口碑，而且美白牙齿只是对牙齿的美观有帮助，对牙齿健康没有任何效果，所以部分医院干脆停止了牙齿脱色这项业务。</p>,,,2017/5/23 10:39
7,孩子换牙长黄牙怎么办？,医生你好，请问孩子换牙长黄牙怎么办？孩子今年8岁，刚换的牙齿黄黄的，看上去特别影响外貌美观，害怕给孩子造成心理压力，准备带孩子到医院治疗，可是不知道孩子刚换的牙黄如何治疗？专家回复：孩子换牙长黄牙怎么办？你好，黄牙在生活中很常见，不但影响外貌美观，而且不利于口,<p> 　　医生你好，请问孩子换牙长黄牙怎么办？孩子今年8岁，刚换的牙齿黄黄的，看上去特别影响外貌美观，害怕给孩子造成心理压力，准备带孩子到医院治疗，可是不知道孩子刚换的牙黄如何治疗？<br /><br /> 　　专家回复：孩子换牙长黄牙怎么办？<br /><br /> 　　你好，黄牙在生活中很常见，不但影响外貌美观，而且不利于口腔的健康，及时到医院治疗非常必要。至于孩子黄牙如何治疗视个人牙齿情况而定，若黄牙是内源性因素引起的，常通过牙齿美白的方法恢复牙齿的洁白，如冷光美白、牙脱色素、全瓷牙等方法，具体选择哪种方法视个人情况而定，毕竟最适合自己的才是最好的；若黄牙是由于外源性因素引起的，常通过洗牙清除黄牙。</p>,<p> 　　医生你好，请问孩子换牙长黄牙怎么办？孩子今年8岁，刚换的牙齿黄黄的，看上去特别影响外貌美观，害怕给孩子造成心理压力，准备带孩子到医院治疗，可是不知道孩子刚换的牙黄如何治疗？<br /><br /> 　　专家回复：孩子换牙长黄牙怎么办？<br /><br /> 　　你好，黄牙在生活中很常见，不但影响外貌美观，而且不利于口腔的健康，及时到医院治疗非常必要。至于孩子黄牙如何治疗视个人牙齿情况而定，若黄牙是内源性因素引起的，常通过牙齿美白的方法恢复牙齿的洁白，如冷光美白、牙脱色素、全瓷牙等方法，具体选择哪种方法视个人情况而定，毕竟最适合自己的才是最好的；若黄牙是由于外源性因素引起的，常通过洗牙清除黄牙。</p>,,,2017/5/24 10:39
8,牙齿黄有牙垢怎么去掉？,医生你好，请问牙齿黄有牙垢怎么去掉？今年23岁，牙齿上堆积很多黄色牙垢，看上去特别影响外貌美观，给我心里造成很大负担，准备到医院治疗，可是不知道牙齿上黄垢如何清除？专家回复：牙齿黄有牙垢怎么去掉？你好，牙齿上有黄垢的确使外貌美观大打折扣，及时到医院清除非常必要,<p> 　　医生你好，请问牙齿黄有牙垢怎么去掉？今年23岁，牙齿上堆积很多黄色牙垢，看上去特别影响外貌美观，给我心里造成很大负担，准备到医院治疗，可是不知道牙齿上黄垢如何清除？<br /><br /> 　　专家回复：牙齿黄有牙垢怎么去掉？<br /><br /> 　　你好，牙齿上有黄垢的确使外貌美观大打折扣，及时到医院清除非常必要。针对牙齿的黄垢临床上常通过洗牙的方法清除，进而恢复牙齿的洁白，让广大顾客绽放自信微笑。至于郑州医院洗牙要多少钱不定，因为不同的人牙齿情况和需求不同，所选择的洗牙方式不同，当然洗牙价格有所差别，如超声波洗牙加抛光190元左右、人工洗牙加抛光460元左右，此外洗牙还受所选择的医院等因素的影响。</p>,<p> 　　医生你好，请问牙齿黄有牙垢怎么去掉？今年23岁，牙齿上堆积很多黄色牙垢，看上去特别影响外貌美观，给我心里造成很大负担，准备到医院治疗，可是不知道牙齿上黄垢如何清除？<br /><br /> 　　专家回复：牙齿黄有牙垢怎么去掉？<br /><br /> 　　你好，牙齿上有黄垢的确使外貌美观大打折扣，及时到医院清除非常必要。针对牙齿的黄垢临床上常通过洗牙的方法清除，进而恢复牙齿的洁白，让广大顾客绽放自信微笑。至于郑州医院洗牙要多少钱不定，因为不同的人牙齿情况和需求不同，所选择的洗牙方式不同，当然洗牙价格有所差别，如超声波洗牙加抛光190元左右、人工洗牙加抛光460元左右，此外洗牙还受所选择的医院等因素的影响。</p>,,,2017/5/25 10:39
9,3岁孩子黄牙是怎么回事？,医生您好！我的孩子今年三岁，平时爱吃甜食，牙齿不太好，颜色发黄，我想问问医生：3岁孩子黄牙是怎么回事？专家回复：3岁孩子黄牙是怎么回事？婴幼儿时期的孩子牙齿发黄的主要原因有：儿童牙齿发育期缺乏钙质；平时没有做好口腔卫生，给孩子喂食后没有及时清理食物残渣，滋生,<p> 　　医生您好！我的孩子今年三岁，平时爱吃甜食，牙齿不太好，颜色发黄，我想问问医生：3岁孩子黄牙是怎么回事？<br /><br /> 　　专家回复：3岁孩子黄牙是怎么回事？<br /><br /> 　　婴幼儿时期的孩子牙齿发黄的主要原因有：儿童牙齿发育期缺乏钙质；平时没有做好口腔卫生，给孩子喂食后没有及时清理食物残渣，滋生细菌附着于表面，形成黄色斑块。<br /><br /> 　　如果缺钙引起的黄牙，要及时补充钙质，平时要给孩子养成良好的口腔习惯，口腔卫生不好也是儿童牙黄的常见原因，吃过东西后，要养成漱口的好习惯，按时刷牙可以有效的清除牙间隙和内侧面的菌斑，认真刷牙，清洁口腔，少吃甜食，更好的保持口腔卫生。孩子牙齿的着色问题也会逐渐减轻。</p>,<p> 　　医生您好！我的孩子今年三岁，平时爱吃甜食，牙齿不太好，颜色发黄，我想问问医生：3岁孩子黄牙是怎么回事？<br /><br /> 　　专家回复：3岁孩子黄牙是怎么回事？<br /><br /> 　　婴幼儿时期的孩子牙齿发黄的主要原因有：儿童牙齿发育期缺乏钙质；平时没有做好口腔卫生，给孩子喂食后没有及时清理食物残渣，滋生细菌附着于表面，形成黄色斑块。<br /><br /> 　　如果缺钙引起的黄牙，要及时补充钙质，平时要给孩子养成良好的口腔习惯，口腔卫生不好也是儿童牙黄的常见原因，吃过东西后，要养成漱口的好习惯，按时刷牙可以有效的清除牙间隙和内侧面的菌斑，认真刷牙，清洁口腔，少吃甜食，更好的保持口腔卫生。孩子牙齿的着色问题也会逐渐减轻。</p>,,,2017/5/26 10:39
10,黄牙是怎么形成的？怎么治？？,医生您好！据家里人说，我的牙是小时候换牙以后才变黄的，主要是前牙，我现在都大学毕业了，平时一说话就露出几颗明显的黄牙，很影响美观，我想问问医生：该怎么让牙齿变白啊？专家回复：黄牙是怎么形成的？怎么治？？黄牙形成的原因分为内源性的和外源性的，内源性是指牙齿,<p> 　　医生您好！据家里人说，我的牙是小时候换牙以后才变黄的，主要是前牙，我现在都大学毕业了，平时一说话就露出几颗明显的黄牙，很影响美观，我想问问医生：该怎么让牙齿变白啊？<br /><br /> 　　专家回复：黄牙是怎么形成的？怎么治？？<br /><br /> 　　黄牙形成的原因分为内源性的和外源性的，内源性是指牙齿发育期间，当地水质中氟含量较高所致，引起的氟斑牙；还有一种是儿童长期服用四环素所致，与钙化物相结合，生成的钙化物，色素沉积于牙冠。外源性是多是生活习惯引起的：吸烟，饮茶，喝咖啡等引起的。<br /><br /> 　　黄牙美白的方法很多种：药物美白，冷光美白等，药物美白采用取模的方式，患者可以自行上药美白，美白的时间视每个人的具体情况决定，如果情况较严重的，可采用瓷贴面或烤瓷冠修复的方法。</p>,<p> 　　医生您好！据家里人说，我的牙是小时候换牙以后才变黄的，主要是前牙，我现在都大学毕业了，平时一说话就露出几颗明显的黄牙，很影响美观，我想问问医生：该怎么让牙齿变白啊？<br /><br /> 　　专家回复：黄牙是怎么形成的？怎么治？？<br /><br /> 　　黄牙形成的原因分为内源性的和外源性的，内源性是指牙齿发育期间，当地水质中氟含量较高所致，引起的氟斑牙；还有一种是儿童长期服用四环素所致，与钙化物相结合，生成的钙化物，色素沉积于牙冠。外源性是多是生活习惯引起的：吸烟，饮茶，喝咖啡等引起的。<br /><br /> 　　黄牙美白的方法很多种：药物美白，冷光美白等，药物美白采用取模的方式，患者可以自行上药美白，美白的时间视每个人的具体情况决定，如果情况较严重的，可采用瓷贴面或烤瓷冠修复的方法。</p>,,,2017/5/27 10:39
